Year,Production (Metric Tons),avg_yield,Extent (Hectares),Number of Farmers,datetime,tempmax,tempmin,temp,humidity,rainfall,sunshine_hours
2013,37382.0,19.0,1926.0,4155,3/31/2013,0.6308655014037201,0.057289393,0.2038699666802307,0.2685846691481761,109.616,12.083870967741936
2013,37382.0,19.0,1926.0,4155,4/30/2013,0.7932481676727783,0.4231336060132356,0.4290109741345246,0.3773448080769884,168.325,12.289333333333332
2013,37382.0,19.0,1926.0,4155,5/31/2013,0.3341334080794833,0.6403038282915149,0.2661035552268601,1.1829970077356298,167.337,12.462903225806452
2013,37382.0,19.0,1926.0,4155,6/30/2013,-0.179843477,0.3660711124007511,-0.053299337,1.2207367113211471,288.682,12.55
2013,37382.0,19.0,1926.0,4155,7/31/2013,-0.07867782,0.1953438129634001,-0.117670241,1.0317797022731088,109.849,12.507096774193547
2013,37382.0,19.0,1926.0,4155,8/31/2013,0.2242041610707635,0.1751666284974482,-0.046950254,0.7577791145974351,105.48,12.356774193548388
2013,37382.0,19.0,1926.0,4155,9/30/2013,0.009214328,0.1751312299282097,-0.094222636,0.8988721845090444,171.828,12.16
2013,37382.0,19.0,1926.0,4155,10/31/2013,0.2895467204815417,0.1709188001888269,-0.029034524,0.7971990104658706,264.826,11.956129032258064
2013,37382.0,19.0,1926.0,4155,11/30/2013,0.3198092940753171,-0.166146376,-0.038683873,0.5022175601804363,151.228,11.783666666666669
2013,37382.0,19.0,1926.0,4155,12/31/2013,-0.144789116,-0.352626039,-0.350574731,1.002053223421504,89.42099999999999,11.696129032258064
2014,46137.0,19.0,2366.0,5452,1/31/2014,0.1457930897778307,-0.006428032,0.1821825040048914,-0.048066953,67.04599999999999,11.740967741935483
2014,46137.0,19.0,2366.0,5452,2/28/2014,0.7102374926879879,-0.285836524,0.3397870464281718,-1.567579309,27.347,11.887857142857143
2014,46137.0,19.0,2366.0,5452,3/31/2014,1.0598201855356488,-0.506609815,0.2255574293555711,-1.548607908,26.364,12.081612903225803
2014,46137.0,19.0,2366.0,5452,4/30/2014,0.9346443413310804,0.4110626939029017,0.461164995,-0.31112475,319.773,12.288333333333332
2014,46137.0,19.0,2366.0,5452,5/31/2014,0.5732103019236223,0.5734005324307244,0.3189078121755156,0.8269254893174756,145.555,12.461935483870969
2014,46137.0,19.0,2366.0,5452,6/30/2014,0.19350597,0.6382153127064434,0.2507023136168352,0.7272556214577807,111.516,12.55
