Year,Production (Metric Tons),Average Yield (Metric Tons/Hectare),Extent (Hectares),Number of Farmers,datetime,tempmax,tempmin,temp,humidity,rainfall,sunshine_hours
2016,27608.0,19.0,1446.0,3923,2016-07-31,0.3464331839685715,0.7050832099979953,0.7168256056100196,-0.5359689432485589,70.07300000000001,12.506774193548386
2016,27608.0,19.0,1446.0,3923,2016-08-31,0.3710327357467461,0.8367658875652652,0.7432277340843478,-0.7543939400277535,42.106,12.356129032258066
2017,20972.0,20.0,1056.0,1985,2017-05-31,0.69928300478677,0.92597028204632,0.8922111733323376,0.0068624096938153,162.037,12.462903225806452
2017,20972.0,20.0,1056.0,1985,2017-06-30,0.3325190624940412,0.9740061405029824,0.761269188541804,-0.1301594250707241,107.109,12.55
2017,20972.0,20.0,1056.0,1985,2017-07-31,0.5624479980206711,0.9726963934411572,0.8922111733323376,-0.9598943807845082,51.366,12.507096774193547
2017,20972.0,20.0,1056.0,1985,2017-08-31,0.4379127671436597,0.7879158620161176,0.745113600403942,-0.4500206456993479,106.035,12.356774193548388
2018,9240.0,20.0,462.0,1452,2018-05-31,0.4794245107693305,0.7380038793898123,0.6508202844242019,0.6078542647371596,435.68,12.462258064516128
2018,9240.0,20.0,462.0,1452,2018-06-30,0.2101875414638242,0.9114568686585286,0.6609096692340344,0.1382836035153008,136.546,12.55
2018,9240.0,20.0,462.0,1452,2018-07-31,0.2242041610707635,0.9663246509782248,0.6149888243519009,-0.3879827767916503,52.579,12.508064516129032
2018,9240.0,20.0,462.0,1452,2018-08-31,0.1803862094658893,0.6254364292113399,0.5056085778154016,-0.2096239036820125,171.433,12.358064516129032
2019,9023.0,28.0,472.0,1171,2019-05-31,0.9814091142427152,0.7911017332475834,1.1458601933178398,-1.129206064678442,28.534,12.46032258064516
2019,9023.0,28.0,472.0,1171,2019-06-30,0.6629730413808587,1.0266792115298904,1.017526990269413,-0.8339876641992634,80.007,12.549666666666669
2019,9023.0,28.0,472.0,1171,2019-07-31,0.688520700883818,0.6392418712143605,0.8988117054509197,-1.2261402348467236,114.699,12.508709677419354
2019,9023.0,28.0,472.0,1171,2019-08-31,0.3118400642805121,0.8027832610962927,0.675336546578934,-0.278770278402053,156.69899999999998,12.359354838709676
2020,15217.0,17.0,1251.0,3233,2020-05-31,0.7692379801559551,1.1744682381006846,0.9949908877502548,0.0992729852542449,331.059,12.464516129032257
2020,15217.0,17.0,1251.0,3233,2020-06-30,0.7018967071632012,0.9794929187349528,0.9269111136128816,-0.7752240161505801,125.713,12.55
2020,15217.0,17.0,1251.0,3233,2020-07-31,0.4686622068663785,0.9227844108148532,0.745113600403942,-0.3750582207692131,122.724,12.506451612903223
2020,15217.0,17.0,1251.0,3233,2020-08-31,0.4348378231713881,0.8452615441825089,0.7328554693265765,-0.6264408354056218,121.711,12.355483870967742
2021,39096.0,16.4,1765.1,4184,2021-05-31,0.534773502270224,1.0257942472989272,0.7668010630792834,0.578774013686676,347.171,12.462903225806452
2021,39096.0,16.4,1765.1,4184,2021-06-30,0.4286366861606395,0.7940398144943797,0.7193715251414734,-0.0874222264898659,155.737,12.55
2021,39096.0,16.4,1765.1,4184,2021-07-31,0.360270431843795,1.039599689301948,0.7083392071718434,0.031419066136447,153.832,12.507096774193547
2021,39096.0,16.4,1765.1,4184,2021-08-31,0.2680221126756387,0.9057930975803667,0.5980160274755464,0.0630842283914186,132.392,12.356774193548388
2022,4994.7,8.4,1374.7,3233,2022-05-31,0.3387458240378911,1.0884497148510963,0.7866026594350275,0.2692308969492973,168.988,12.462580645161289
2022,4994.7,8.4,1374.7,3233,2022-06-30,0.4183099993204265,0.9070674460729532,0.7476280888300693,-0.2209759720550517,42.15,12.55
2022,4994.7,8.4,1374.7,3233,2022-07-31,0.3894823995803776,0.9217224537376976,0.6593066828623781,-0.0403122197880813,154.086,12.508064516129032
2022,4994.7,8.4,1374.7,3233,2022-08-31,0.2495724488420063,0.8781822135743269,0.5423829710475002,0.0391737997499082,268.388,12.358064516129032
2023,2227.8,15.7,109.6,336,2023-05-31,0.7630880922114119,1.0427855605334146,0.9836756898326868,-0.0306188027712535,150.78,12.460967741935484
2023,2227.8,15.7,109.6,336,2023-06-30,0.6415253071742631,1.1759195794394637,0.9746549626039572,-0.3451809554306799,75.601,12.549666666666669
2023,2227.8,15.7,109.6,336,2023-07-31,0.4686622068663785,1.1861497659493938,0.8705237106569983,-0.6199785573944032,71.368,12.508387096774191
2023,2227.8,15.7,109.6,336,2023-08-31,0.9767966982843072,0.9365898528178735,1.1100287332455387,-1.8917548700022564,39.42,12.359032258064516








